t0,t1,t_mean,t0_data,t1_data,cps_bgsub,cps_bgsub_err,flux_bgsub,flux_bgsub_err,mag_bgsub,mag_bgsub_err_1,mag_bgsub_err_2,cps_mcatbgsub,cps_mcatbgsub_err,flux_mcatbgsub,flux_mcatbgsub_err,mag_mcatbgsub,mag_mcatbgsub_err_1,mag_mcatbgsub_err_2,cps,cps_err,flux,flux_err,mag,mag_err_1,mag_err_2,counts,flat_counts,bg_counts,bg_flat_counts,exptime,bg,mcat_bg,responses,detxs,detys,detrad,racent,deccent,flags
741010215.995,741010225.995,741010221.017,741010216.325,741010225.525,3.46969670441,0.634470576104,4.85757538617e-15,8.88258806545e-16,17.469271216,0.182333850374,0.219259527709,2.71439828345,0.692166260859,3.80015759683e-15,9.69032765203e-16,17.73581607,0.246607624881,0.319606471793,3.72101721546,0.614071926848,5.20942410164e-15,8.59700697587e-16,17.3933458017,0.165840882447,0.195820184113,15.0,36.7184949542,9.0,4.1333016048,9.86786484129,2.47999683486,9.9331795677,0.412462293828,395.00881958,51.2791633606,348.756553757,244.273588145,55.2675285884,40.0
741010225.995,741010235.995,741010230.578,741010226.135,741010234.915,2.42008316333,0.559001235342,3.38811642866e-15,7.82601729478e-16,17.8604242744,0.225631292173,0.285161995817,1.74537260262,0.617129476048,2.44352164367e-15,8.63981266467e-16,18.2152796138,0.328710112005,0.473713645213,2.75199153462,0.528063533695,3.85278814847e-15,7.39288947173e-16,17.7208822659,0.190585103593,0.231315926664,12.0,27.1595038558,12.0,5.45932456789,9.86903611951,3.27561570467,9.93435859854,0.44918707146,392.877105713,52.8194007874,347.253659581,244.270993467,55.2698171113,40.0
741010235.995,741010245.995,741010242.016,741010236.71,741010245.58,2.83311626682,0.608520794643,3.96636277354e-15,8.51929112501e-16,17.6893390058,0.211251680291,0.262533371826,2.23709600698,0.656272247171,3.13193440977e-15,9.18781146039e-16,17.9457884434,0.279297723672,0.377002919718,3.24371493898,0.57331572844,4.54120091457e-15,8.02642019816e-16,17.5423932976,0.176707420688,0.211166225063,15.0,32.0108826313,13.0,6.75333788125,9.86858686211,4.05202866173,9.93390636753,0.472110200609,394.248626709,55.1904754639,344.85748724,244.271533197,55.2678374029,40.0
741010245.995,741010255.995,741010249.928,741010246.845,741010255.82,2.03196136422,0.514332434157,2.84474590991e-15,7.2006540782e-16,18.050211385,0.244982665747,0.31687462307,1.31466913957,0.580708398147,1.8405367954e-15,8.12991757406e-16,18.5229588288,0.39719815249,0.632859094386,2.32128807158,0.484994748166,3.24980330021e-15,6.78992647432e-16,17.9056774008,0.206005994494,0.254467461317,11.0,22.9078329663,10.0,4.75871244912,9.86858686211,2.85524574305,9.93390636753,0.486246794766,395.42880249,57.1516685486,342.87880399,244.271603078,55.2667504531,40.0
741010255.995,741010265.995,741010260.927,741010257.04,741010265.845,3.44174495274,0.626811410801,4.81844293383e-15,8.77535975122e-16,17.4780532895,0.181654131622,0.218276345493,2.6527735177,0.687637658843,3.71388292478e-15,9.6269272238e-16,17.7607495665,0.250249386794,0.325768982165,3.6593924497,0.608963482126,5.12314942959e-15,8.52548874976e-16,17.4114775308,0.167129099383,0.197620178079,17.0,36.1106640964,8.0,3.57953105707,9.86793971752,2.14773237973,9.93325493954,0.475057335571,397.058990479,56.2718734741,343.740708241,244.275016553,55.2686811062,40.0
741010265.995,741010275.995,741010270.824,741010266.035,741010275.965,3.79945635217,0.644358826645,5.31923889304e-15,9.02102357302e-16,17.3706963507,0.170086320788,0.201771679265,2.94159630499,0.708615640077,4.11823482698e-15,9.92061896108e-16,17.6485423217,0.234337526576,0.299245271862,3.94821523699,0.632552507593,5.52750133179e-15,8.8557351063e-16,17.3289979495,0.161343630997,0.189576181756,19.0,38.9590606505,5.0,2.44645110808,9.86751185333,1.46788005928,9.93282424334,0.489785636731,398.314666748,57.5446968079,342.459450202,244.27150655,55.2680636381,40.0
741010275.995,741010285.995,741010279.844,741010276.88,741010284.31,2.08004021427,0.508331976959,2.91205629998e-15,7.11664767743e-16,18.0248206714,0.237387484489,0.304249505324,1.30850481928,0.580153187069,1.83190674699e-15,8.12214461897e-16,18.5280616837,0.39844499384,0.636085571755,2.31512375128,0.484336048362,3.2411732518e-15,6.78070467706e-16,17.9085644737,0.206250062224,0.254840559536,11.0,22.8483494721,8.0,3.86677416976,9.86916982707,2.32007935037,9.9344931911,0.487596537235,399.775909424,57.1963539124,342.803719332,244.270705413,55.267333507,40.0
741010285.995,741010295.995,741010291.17,741010286.29,741010295.99,2.69458819984,0.560763839689,3.77242347977e-15,7.85069375564e-16,17.743768991,0.205263893081,0.253334336936,1.89251155097,0.629063122433,2.64951617136e-15,8.80688371407e-16,18.1274036527,0.31158323723,0.438702548313,2.89913048298,0.54197083841,4.05878267617e-15,7.58759173774e-16,17.6643305941,0.18607424505,0.224696912878,12.0,28.6143369013,8.0,3.36468950295,9.86997207243,2.01882662226,9.93530074646,0.420471450455,400.363128662,54.5206108093,345.47958003,244.270667999,55.2682532418,40.0
741010295.995,741010305.995,741010300.742,741010296.835,741010305.735,1.81038171749,0.495152489341,2.53453440448e-15,6.93213485078e-16,18.1755746121,0.262503537505,0.346921758977,1.10827925109,0.562427664035,1.55159095152e-15,7.87398729649e-16,18.7083769936,0.445627669028,0.768936563044,2.11489818309,0.462944091816,2.96085745633e-15,6.48121728543e-16,18.0067763397,0.214917193621,0.268228725597,9.0,20.8699705573,12.0,5.00828601634,9.86807342508,3.00499084175,9.9333895321,0.441433880645,401.522125244,51.8300933838,348.173233805,244.274257624,55.267106345,40.0
741010305.995,741010315.995,741010310.609,741010307.785,741010315.05,2.09400667011,0.496825141999,2.93160933816e-15,6.95555198798e-16,18.0175548482,0.231152900697,0.294059454784,1.25855370013,0.575741529262,1.76197518018e-15,8.06038140966e-16,18.570320623,0.40899371436,0.663926242915,2.26517263213,0.479055020332,3.17124168499e-15,6.70677028465e-16,17.9322467354,0.208297075996,0.25797813257,10.0,22.3579417377,7.0,2.81574868345,9.87030366717,1.68946002262,9.93563453601,0.450198269762,399.58001709,50.4979476929,349.502304646,244.27343356,55.268127235,40.0
