objid,flat_counts,mcat_bg,bg_counts,flux_bgsub_err,cps_mcatbgsub,counts,mag_mcatbgsub,cps_err,mag_bgsub,cps_bgsub,detys,flux_bgsub,flux_err,mag_err_1,cps_bgsub_err,t1_data,bg,responses,t_mean,cps_mcatbgsub_err,mag_bgsub_err_1,mag_err_2,t0_data,racent,deccent,mag,exptime,bg_flat_counts,detxs,t0,t1,mag_mcatbgsub_err_2,flux,mag_mcatbgsub_err_1,flags,mag_bgsub_err_2,detrad,cps,flux_mcatbgsub_err,flux_mcatbgsub,mcat_expt,ra,dec,aper4,aper4_err,mcat_bg,aper7,aper7_err
6443421828467654974,10621.637166579845,118.70898059762641,12770.0,2.4371440783590961e-16,119.7617070483458,9695.0,14.884205055785895,1.1751770800433956,14.88675347670614,119.48093411787754,312.22109985351562,2.4613072428282772e-14,2.420864784889395e-16,0.010484074222791406,1.1830796496888816,809202866.98500001,143.33235978915405,0.91290986504026717,809202816.52048683,1.1817258095150176,0.010697895685225944,0.01058629832446023,809202765.995,323.068084717,0.253649711609,14.872002391009422,87.698551104839893,11637.463139017153,726.2001953125,809202764.995,809202866.995,0.0107665009718243,2.4949753773009529e-14,0.010660784429685322,40.0,0.01080435320915818,337.80423729260656,121.11530957771616,2.4343551676009362e-16,2.4670911651959233e-14,103.0,323.068023682,0.253576487303,15.2675,0.0138482,0.00143962,14.884,0.0110531
6443069980118352567,12178.405443945692,123.38211417396565,11799.0,2.4056185404955427e-16,126.91893863953027,10517.0,14.821183920867343,1.1618594393905106,14.821270943412658,126.90876640208626,215.46234130859375,2.6143205878829769e-14,2.3934304451444517e-16,0.0097941960716365628,1.1677759905318168,870439260.99000001,124.34829432814874,0.86385012199073541,870439207.29105055,1.1677301347761264,0.0099449301021596881,0.0098833523071135687,870439153.0,323.06829834,0.253803879023,14.810127987580227,94.98206854699508,10096.105958014014,217.06382751464844,870439151.995,870439260.995,0.010035660529958079,2.6412896242742242e-14,0.0099437479800492667,0.0,0.010036864607847917,259.84570552328978,128.21794292593322,2.4055240776388205e-16,2.6145301359743233e-14,110.0,323.068237305,0.253784894943,15.0259,0.0119483,0.00138156,14.8321,0.0106505
6442929238131606291,11086.110245282145,120.45769661308148,11570.0,2.5144806225817097e-16,126.43359916877647,9383.0,14.825343747203831,1.2139970088991339,14.825429284558126,126.4236387663134,234.87309265136719,2.6043269585860561e-14,2.5008338383322157e-16,0.01026314530010275,1.2206216614474319,807498642.98500001,121.3215675569824,0.8465619900415946,807498591.65196633,1.2205746176677017,0.010432512969064334,0.010361086340916259,807498540.995,323.068359375,0.25381103158,14.81348196686195,86.730525910529465,9850.3594895742317,294.513671875,807498539.995,807498642.995,0.010532487389813383,2.6331429292657685e-14,0.010431294913255229,0.0,0.010533729194207808,195.94453539667578,127.82247229445478,2.5143837123954655e-16,2.6045321428767952e-14,102.6,323.068267822,0.253793001175,14.9902,0.0121398,0.00147714,14.8257,0.0110382
6443421822058759095,15942.533481652565,161.70172561192211,16015.0,2.1192743280710833e-16,127.90064213932534,13678.0,14.812818187730933,1.0233436618140479,14.813364777538457,127.83626960306781,235.77003479003906,2.6334271538231968e-14,2.1080879433369385e-16,0.0085650816743800817,1.0287739456655745,808161247.972,169.64423588706998,0.85826411566923422,808161177.57972884,1.0285203469588438,0.0087025896809080905,0.0086331869262217253,808161106.99699998,323.068359375,0.253812015057,14.801749567672227,123.38352249123341,13773.78105535033,269.85894775390625,808161106.995,808161247.995,0.0087663047440003083,2.6617508001960091e-14,0.0086960915567146913,0.0,0.0087729082653513757,209.542775949412,129.21120389301015,2.118751914735218e-16,2.6347532280701018e-14,142.0,323.068267822,0.253799140453,14.9696,0.0101624,0.00139385,14.8127,0.00927715
6443421828266330568,7318.7376760079587,94.25134223948119,9655.0,2.7079069427972437e-16,110.15514565122088,7044.0,14.974988027360313,1.3044153647671095,14.977930615712893,109.85700472527375,485.50408935546875,2.2630542973406392e-14,2.6870956514202456e-16,0.012617701391082647,1.3145179333967203,809203696.98000002,113.80480959961668,0.96257847766251747,809203659.35357606,1.3127876835604737,0.012914500732673417,0.012766061727889522,809203622.0,323.068328857,0.253865480423,14.960915009266436,65.58464691829316,9240.0577141591257,63.621070861816406,809203620.995,809203696.995,0.013017118158451524,2.298800149272613e-14,0.012862900334026151,40.0,0.013069965841767228,347.07597621365142,111.59224025595209,2.7043426281345759e-16,2.26919600041515e-14,77.0,323.06829834,0.253798216581,15.3074,0.016235,0.00152842,14.9795,0.0132983
6443492197782258059,14598.347445521118,163.63227788451198,15309.0,2.1827653250677247e-16,125.91108323061857,12100.0,14.829840099391864,1.0539198627337731,14.829389193331124,125.96338494171327,99.915557861328125,2.5948457297992932e-14,2.1710749172315727e-16,0.0089491423081433652,1.0595948179940411,811166892.99000001,157.63629815769676,0.82904911229733524,811166827.3420831,1.059810075203736,0.0090949343045068076,0.0090235187673606276,811166761.00999999,323.068267822,0.253833174706,14.817601406428391,114.64213314087689,12798.830716803204,393.463623046875,811166759.995,811166892.995,0.0091774621726141703,2.6231713344708162e-14,0.0091005371075691954,32.0,0.0091717642795146048,300.15562069924869,127.33841429469982,2.1832087549196961e-16,2.5937683145507425e-14,128.0,323.068237305,0.253771990538,15.0568,0.0113875,0.00151804,14.8322,0.009967
6443421822092313223,15505.014305939383,155.80671150414079,14949.0,2.1518238890177286e-16,128.12774324054013,12785.0,14.81089205792286,1.0394253457233835,14.810764658527034,128.14277852694767,196.44792175292969,2.6397412376551219e-14,2.1412162121901699e-16,0.0086846066978534253,1.0445747034066644,808161423.98099995,154.0055424015375,0.82487529983787511,808161348.55315888,1.0446347774598028,0.0088146599521365943,0.0087546337998780643,808161279.04799998,323.06829834,0.253765523434,14.799926529373494,119.79612850606028,12504.041833530559,388.44918823242188,808161278.995,808161423.995,0.0088883691694459088,2.6662238478449094e-14,0.0088161950720806459,0.0,0.0088868088140774404,203.87954730965893,129.42834212839367,2.1519476415671938e-16,2.6394315107551265e-14,138.1,323.06817627,0.253742814064,14.9677,0.0105534,0.00138325,14.8111,0.00961794
6443421826420837427,10051.585303857006,132.24909782307182,14572.0,2.2458788787406256e-16,106.96718460746237,9454.0,15.00687358685523,1.0811482162244506,15.01097231792658,106.56413715450621,672.13555908203125,2.195221225382828e-14,2.2271653254223683e-16,0.010775814169649678,1.0902324654080706,809108911.99000001,169.6247023837534,0.94067155376972988,809108858.83435738,1.0882373290033296,0.011051473536749512,0.010883835957629984,809108805.995,323.06829834,0.253778636456,14.992493706346997,92.732516448244709,13772.195088125922,206.28289794921875,809108804.995,809108911.995,0.011102376656236146,2.2329023862413874e-14,0.010989995653279294,40.0,0.011165121884118889,334.04203050490895,108.39331972045569,2.2417688977468589e-16,2.2035240029137248e-14,108.0,323.06817627,0.253749996424,15.4072,0.0142694,0.00151677,15.0097,0.0112586
6443421826521498640,11902.977468233617,135.58373410273157,14146.0,2.4146293153000046e-16,125.59098718377588,10847.0,14.832603814649874,1.1644101830805484,14.834744951749792,125.34355825563894,207.31385803222656,2.5820773000661621e-14,2.3986849771459296e-16,0.0099063515863413443,1.1721501530582548,809107612.99000001,158.76687553580857,0.91160265322136891,809107559.26089096,1.1710231521868273,0.010106080779955562,0.0099975709319153339,809107505.995,323.068237305,0.253730803728,14.820165498611054,93.696164016226675,12890.624730262112,126.99045562744141,809107504.995,809107612.995,0.010171006707567543,2.6169837198793707e-14,0.010076609920213642,32.0,0.010201033141157723,334.15888529999762,127.03804465433838,2.4123076935048643e-16,2.5871743359857831e-14,109.0,323.06817627,0.25369861722,15.1009,0.0123465,0.00153902,14.8327,0.010515
6443421828434100299,8176.9150843548859,86.158642709696124,8641.0,2.8725132438647812e-16,124.06046346622074,7172.0,14.845916501816751,1.3865611113610885,14.846835079422512,123.95554758562523,163.00758361816406,2.5534842802638795e-14,2.8563158894038421e-16,0.011940958681863734,1.3944239047887288,809202721.98500001,93.000861520124147,0.87732704038143028,809202681.9891181,1.3938469383596117,0.012145678218386635,0.012073747464588891,809202628.0,323.068237305,0.253714621067,14.834415601729459,65.21623582236694,7550.940341939312,601.40155029296875,809202626.995,809202721.995,0.012267532082800514,2.582860672862385e-14,0.012130470701485763,32.0,0.012283085422630791,311.01123755085234,125.38158606128083,2.8713246930208001e-16,2.5556455474041473e-14,74.05,323.06817627,0.253702551126,15.0716,0.0152324,0.00140508,14.8447,0.013301
