objid,t0,t1,t_raw,t_eff,ra,dec,racent,deccent,aper4,aper4_err,mag_bgsub_cheese,mag_bgsub,mag,distance,response,skybg,bg,bg_cheese,bg_eff_area,bg_sigmaclip,mag_bgsub_sigmaclip
6372569316824453549,864695275.995,864695352.995,78.0,64.0,293.928,62.1849,293.92769104957284,62.184740536998802,20.8127,0.44508,20.402801064884112,20.575209946109808,20.335225139634712,312.29347995146497,0.57034520238158426,0.000349522,3.1436638800993073,0.95656064718166001,0.00174707109058782,0.51629151581929733,20.37117519489405
6372569316856955183,864736704.995,864736781.995,78.0,69.0,293.927,62.1856,293.92837068008458,62.185276237485667,-80.1829,-99.0,20.740284525289162,20.743787806975035,20.52545053915134,317.58911871805572,0.97677393796823364,0.000343005,2.6129825288059481,2.5750697557303321,0.00174707109058782,0.88651031008972025,20.594716321930022
6371091543130902256,864695171.995,864695241.995,71.0,23.0,293.837,62.0867,293.83774523290072,62.085692155483741,-80.1829,-99.0,21.30351672526551,21.601955862367532,20.842420366159594,226.9451490255573,0.84170747922473976,0.00029903,1.796785198037963,1.2355677989883873,0.00174707109058782,0.47335811648079246,20.996828494886991
6371091543164456733,864736591.995,864736670.995,80.0,70.0,293.837,62.0865,293.83753426914677,62.086255217651477,-80.1829,-99.0,22.023661877850444,22.364993820597288,21.653227745709483,226.54545653240373,0.77690586358691782,0.000289069,2.4763714803659851,1.4887136792317537,0.00174707109058782,0.62453531598512935,21.793587967235826
6371091543130902571,864695171.995,864695241.995,71.0,27.0,293.729,62.1544,293.72748859980038,62.155067279899065,-80.1829,-99.0,21.328604691035238,21.724516013359384,20.944815694781578,277.2365457626384,0.78740855382351682,0.000304646,1.954308603032719,1.1358123393339039,0.00174707109058782,0.42379182156133771,21.072683749917534
6371091543166554194,864736591.995,864736670.995,80.0,38.0,293.728,62.1549,293.72830321515573,62.154696179163516,21.2233,0.440248,20.516652810738417,20.714370341598574,20.32367167109614,276.4536955030913,0.73825355126465941,0.000295745,2.8749710671724018,1.5491047234135948,0.00174707109058782,0.63197026022304759,20.398307558961466
6372569316823400682,864695275.995,864695352.995,78.0,44.0,293.73,62.1543,293.728874391212,62.153373261331751,-80.1829,-99.0,21.448409137845832,22.660026970782123,21.280024406105877,354.99115780365179,0.45040020770687861,0.000345495,3.2843386938933143,0.65581222928114702,0.00174707109058782,0.421313506815365,21.385158594476511
6371091541016970686,864735919.995,864735993.995,75.0,41.0,293.446,62.073,293.44862880778146,62.072353193332845,-80.1829,-99.0,24.386654111116616,nan,21.807806583866679,359.64830186182434,0.77582131075060612,0.00030862,3.6757378096373938,2.3728526045118175,0.00174707109058782,0.94423791821561209,22.293931598433556
6371091541018022261,864735919.995,864735993.995,75.0,9.0,293.449,62.0746,293.44757986241098,62.074737193796771,21.251,0.659195,21.009201183638751,nan,19.839982599590677,357.80263612524027,0.85289712137979168,0.00030862,3.5469560624908634,2.3193341579264874,0.00174707109058782,0.93184634448574843,20.174128144685348
6371091541016970749,864735919.995,864735993.995,75.0,30.0,293.435,62.0926,293.43392244562938,62.092782273992157,-80.1829,-99.0,21.176350995426109,21.65810400872228,20.578915716276398,352.37652609966341,0.84276547460167739,0.000309308,3.7395839524846384,2.5124634902415579,0.00174707109058782,0.49070631970260153,20.672583419585447
6372569316824453537,864695275.995,864695352.995,78.0,37.0,293.785,62.1624,293.78448641661544,62.162501634004769,20.0193,0.346833,19.432766153536168,19.676633233163574,19.375840751171921,341.71909815072314,0.49758085097875432,0.000346237,5.3658380033928808,1.1326921079260566,0.00174707109058782,4.8455847631040383,19.643538797227784
6372569316825497658,864695275.995,864695352.995,78.0,74.0,293.798,62.1624,293.79969146426981,62.162750318838363,14.645,0.0277594,14.805237912212647,14.806480959582867,14.804885366215583,340.43917439210475,0.42051164932363394,0.000346555,4.3868864774309975,0.96983652016622934,0.00174707109058782,4.9060286478828834,14.806669936642539
6371091543166553917,864736591.995,864736670.995,80.0,76.0,293.798,62.1631,293.79937401979765,62.162705011648278,14.25,0.0158686,14.306319308193345,14.306715948487486,14.305876914931677,271.77461875779113,0.72658796423066263,0.000297282,3.7527535159899856,1.9790580540118035,0.00174707109058782,11.091452856917975,14.308358597174433
6371091543132999457,864695171.995,864695241.995,71.0,67.0,293.799,62.1628,293.80014044396415,62.162808574948656,14.2242,0.016274,14.314712651359248,14.314980976100323,14.314245159701475,272.05514401817601,0.7994867873679431,0.000307348,2.8792191780868794,1.8295015817918654,0.00174707109058782,10.222572013222086,14.316859912312598
6372569316859052099,864736704.995,864736781.995,78.0,75.0,293.798,62.1634,293.79950974901828,62.1632338377728,14.4082,0.0163763,14.508729909040326,14.508750763479689,14.507993793473766,345.69935111388742,1.0187837281600516,0.000342316,2.7737461487646846,2.6973556531003027,0.00174707109058782,13.811427671965982,14.511768244710508
