objid,flat_counts,mcat_bg,bg_counts,flux_bgsub_err,cps_mcatbgsub,counts,mag_mcatbgsub,cps_err,mag_bgsub,cps_bgsub,detys,flux_bgsub,flux_err,mag_err_1,cps_bgsub_err,t1_data,bg,responses,t_mean,cps_mcatbgsub_err,mag_bgsub_err_1,mag_err_2,t0_data,racent,deccent,mag,exptime,bg_flat_counts,detxs,t0,t1,mag_mcatbgsub_err_2,flux,mag_mcatbgsub_err_1,flags,mag_bgsub_err_2,detrad,cps,flux_mcatbgsub_err,flux_mcatbgsub,mcat_expt,ra,dec,aper4,aper4_err,mcat_bg
6443421828467654974,14848.674709637302,3180.9218816271309,12770.0,3.2466980877636052e-16,134.37491005389882,13578.0,14.759204533606303,1.4033784807362215,14.82620349111135,126.33352192161861,312.44033813476562,2.6024705515853432e-14,2.890959670316616e-16,0.0088736955741310908,1.576067032894954,809202866.98500001,3879.1543796723845,0.9146142767705161,809202816.47036898,1.5464075841986558,0.013461249374676854,0.0089468181111733713,809202765.995,323.067749023,0.253893524408,14.497453351396096,86.829846608493682,11637.463139017153,726.30975341796875,809202764.995,809202866.995,0.012567275479272055,3.5227829020327555e-14,0.01242347357111484,0.0,0.013630242983706964,337.85314792325045,171.00887873945416,3.1855996234492306e-16,2.7681231471103155e-14,103.0,323.068023682,0.253576487303,15.2699,0.0138482,0.00143962
6443069980118352567,16591.195016815371,3308.2877522554531,11799.0,3.0925036509648649e-16,141.15402295459791,14298.0,14.705766849370313,1.3687967133084584,14.71044265899857,140.54743897662567,215.6424560546875,2.8952772429184886e-14,2.8197212294154245e-16,0.0083966311813252759,1.5012153645460509,870439260.99000001,3365.3686526713382,0.86208575289101053,870439207.27012563,1.499066896295026,0.011535468771587176,0.0084620736600129476,870439152.995,323.067993164,0.254099041224,14.464305530492451,94.102222427145094,10096.105958014014,217.25411987304688,870439151.995,870439260.995,0.011592269377430853,3.6319930447020537e-14,0.011469806539519567,0.0,0.011659345356369144,259.58382213250991,176.31034197582787,3.0880778063677536e-16,2.9077728728647171e-14,110.0,323.068237305,0.253784894943,15.0283,0.0119483,0.00138156
6442929238131606291,15247.277202455087,3218.5663691279751,11570.0,3.2660347081673416e-16,140.09621162635031,12916.0,14.71393402102925,1.438147580310855,14.719806690479087,139.34048691413258,235.0513916015625,2.870414030431131e-14,2.9625840154403612e-16,0.0087574065841788951,1.5854537418288066,807498642.98500001,3283.4531631914101,0.84733836359008741,807498591.75385141,1.5826755128372894,0.012284046332768028,0.0088286174499714321,807498540.995,323.068084717,0.25409668684,14.456500992671433,85.860357633429857,9850.3594895742299,294.6715087890625,807498539.995,807498642.995,0.012335437668996363,3.6581947598163958e-14,0.012196863265632629,0.0,0.012424620311632495,195.70931115650484,177.58226989399981,3.2603115564448159e-16,2.885981959502816e-14,102.6,323.068267822,0.253793001175,14.9926,0.0121398,0.00147714
6443421822058759095,21675.837573760338,4325.3988197690041,16015.0,2.7252845252534644e-16,141.62797474505643,18605.0,14.702127387847042,1.2017843031083473,14.718892951518447,139.4578030925868,236.01327514648438,2.8728307437072881e-14,2.4756756644031954e-16,0.0073496324403379276,1.3229536530356625,808161247.97300005,4591.2603517834432,0.85865851848834085,808161177.63045907,1.3162415106164356,0.010251189912631631,0.0073997232959612802,808161106.99699998,323.068054199,0.25419986248,14.460463821864558,122.50714440578382,13773.78105535033,270.05584716796875,808161106.995,808161247.995,0.010137638682035544,3.6448670498794332e-14,0.010043857402770584,0.0,0.010348901818238332,209.22984677960488,176.93529368346762,2.7114575118698575e-16,2.9175362797481625e-14,142.0,323.068267822,0.253799140453,14.972,0.0101624,0.00139385
6443421828266330568,10625.713085640389,2516.8642513297336,9655.0,3.726805455170347e-16,125.30764950587027,10226.0,14.835056040854898,1.5929326785779978,14.913206100383738,116.60510378874984,485.81488037109375,2.4020651380482468e-14,3.2814413178706754e-16,0.010482072912246565,1.8091288617331782,809203696.98000002,3080.0192380530411,0.96251059218183976,809203659.27998006,1.7715713570597396,0.01671586289837812,0.010584257799909125,809203622.0,323.067962646,0.254239052534,14.541558839326214,64.711522930056887,9240.0577141591239,63.707656860351562,809203620.995,809203696.995,0.015459434533218186,3.3825457917406424e-14,0.015242399491661729,0.0,0.016977247789590422,347.06877380061172,164.20125202624479,3.6494369955430635e-16,2.5813375798209277e-14,77.0,323.06829834,0.253798216581,15.3098,0.016235,0.00152842
6443492197782258059,20197.290230009476,4385.8409636512888,15309.0,2.8319223747717812e-16,138.9715532460543,16774.0,14.722685221174251,1.2491102892135353,14.714505916233186,140.02243748694386,100.21909332275391,2.8844622122310436e-14,2.5731671957798827e-16,0.0076129728785208073,1.3747195994037773,811166892.99000001,4266.2769056010675,0.83072525035622313,811166827.22606599,1.3780749299878061,0.010607610427758374,0.0076667307376947491,811166760.995,323.067840576,0.254158079624,14.456881652825357,113.77471789757887,12798.830716803204,393.54376220703125,811166759.995,811166892.995,0.010820154804990878,3.6569124180359669e-14,0.010713387196636504,0.0,0.010712269826054666,299.85042106802365,177.52002029300812,2.8388343557748805e-16,2.8628139968687183e-14,128.0,323.068237305,0.253771990538,15.0591,0.0113875,0.00151804
6443421822092313223,20933.813599504905,4194.9196196549028,14949.0,2.7444985334622572e-16,140.75695740211188,17308.0,14.708825323577528,1.2166545603084131,14.707081539723486,140.98320657811948,196.67622375488281,2.9042540555092615e-14,2.5063083942353308e-16,0.0074783127286757178,1.3322808414865326,808161423.98099995,4168.0139445101859,0.82712602717723538,808161348.55866289,1.3329946603338372,0.010211951123201501,0.0075301791567898846,808161279.04799998,323.067840576,0.254127800465,14.466021338292652,118.92054424017309,12504.041833530559,388.72500610351562,808161278.995,808161423.995,0.010331120924227832,3.6262578758374288e-14,0.010233742919020017,0.0,0.010308912887516897,203.63615463355282,176.03193572026353,2.7459690002877043e-16,2.8995933224835048e-14,138.1,323.06817627,0.253742814064,14.9701,0.0105534,0.00138325
6443421826420837427,14828.619594630913,3545.5066574954858,14572.0,3.1250700710697921e-16,122.82990485108874,13942.0,14.85673971143428,1.32563982377085,14.962286124750181,111.45140560642592,672.4989013671875,2.295898955492374e-14,2.7308180369679509e-16,0.0088796697426669624,1.5170243063445592,809108911.99000001,4590.7316960419739,0.94035328246927408,809108858.73424363,1.4756335756096857,0.014678856682349917,0.0089528911783496312,809108805.995,323.067871094,0.25425350666,14.560060238986189,91.859657066529238,13772.195088125922,206.4246826171875,809108804.995,809108911.995,0.013122621841734627,3.3253941219066478e-14,0.012965909035347778,0.0,0.014880033777574297,334.25597189306995,161.42689912168194,3.0398051657559526e-16,2.5302960399324281e-14,108.0,323.06817627,0.253749996424,15.4096,0.0142694,0.00151677
6443421826521498640,16764.705432333536,3651.6487879175379,14146.0,3.2208570530976463e-16,141.27414573825735,15283.0,14.704843275325249,1.3949438166176082,14.75962589292936,134.3227711130003,207.64530944824219,2.7670490849278062e-14,2.8735842622322728e-16,0.0083532338288154762,1.563522841309537,809107612.99000001,4296.8749100873711,0.91190074202984295,809107558.72415888,1.5393871205165868,0.012565028502383058,0.0084179989743802253,809107505.995,323.067932129,0.254140913486,14.438113300977925,92.819932308852415,12890.624730262112,126.97065734863281,809107504.995,809107612.995,0.011895602047674814,3.720676403392872e-14,0.011766682010730278,0.0,0.012712145521872387,333.98405489768544,180.6153593880035,3.1711374682641687e-16,2.9102474022081012e-14,109.0,323.06817627,0.25369861722,15.1032,0.0123465,0.00153902
6443421828434100299,11265.741183956034,2296.2147019994004,8641.0,3.7584240750038804e-16,139.39287971586685,9871.0,14.719398524330417,1.6494948299367684,14.746455925305405,135.96202675172125,163.20172119140625,2.8008177510854576e-14,3.397959349669743e-16,0.01018137815577802,1.8244777063125635,809202721.98500001,2516.9801139797705,0.87645222699096126,809202682.11973512,1.8098068911229077,0.014472631672241221,0.010277757468720949,809202628.0,323.067840576,0.25388777256,14.471922891283469,64.347092191794687,7550.9403419393111,601.59454345703125,809202626.995,809202721.995,0.014188963432081536,3.6066007100642165e-14,0.014005924184518292,0.0,0.014668158019432553,310.98839978102296,175.07770437204934,3.72820219571319e-16,2.8714933221468572e-14,74.05,323.06817627,0.253702551126,15.0739,0.0152324,0.00140508
6443492182380776370,16150.030404921472,3482.4982406945301,14153.0,2.9722849687079998e-16,127.4097730612792,15238.0,14.816993144605354,1.2781958366298538,14.90130908824889,117.88983631511849,674.7476806640625,2.4285306280914409e-14,2.6330834234574987e-16,0.0085100971251552693,1.4428567809262136,809777357.99000001,4429.004164344482,0.94370067558232196,809777298.03018725,1.4092850548987337,0.013207692942087235,0.0085773273280089768,809777231.02499998,323.067840576,0.254196822643,14.553289823081172,99.423551740684331,13287.012493033448,553.76849365234375,809777229.995,809777357.995,0.012076287480345727,3.3461953482521242e-14,0.011943443127647058,0.0,0.013370341632015226,314.85081811930002,162.43666739087982,2.9031272130913911e-16,2.6246413250623515e-14,117.1,323.068145752,0.253795266151,15.2541,0.0125706,0.00139936
6443492188252799377,17559.092207049831,3717.0312930648511,12876.0,3.0334880155749666e-16,140.25920423010734,14554.0,14.712671573571942,1.3427082093118683,14.700475265367752,141.84364856559114,71.173377990722656,2.9219791604511774e-14,2.7659789111824488e-16,0.0081628103291926379,1.4725669978519256,810379858.99199998,3560.6638366332295,0.82902330366367016,810379801.72575057,1.4780082756903079,0.011213594314810393,0.0082246453665497654,810379744.99600005,323.067840576,0.254197508097,14.454418315219431,98.689144787074952,10681.991509899688,356.901123046875,810379744.995,810379858.995,0.01150186211197024,3.6652187051133469e-14,0.011381292066644733,0.0,0.011330619156776578,331.63905158568519,177.92323811229841,3.0446970479220344e-16,2.8893396071402115e-14,112.0,323.068145752,0.253769874573,15.118,0.0126582,0.0014801
6443492189058105667,20259.175644945408,4325.5793994308488,17442.0,2.674290245878797e-16,128.84543949582959,19445.0,14.804827371902739,1.1509756295358933,14.889005456740694,119.23336953878639,432.25115966796875,2.4562074124989997e-14,2.3710097968439403e-16,0.0076013770047929086,1.298199148484853,810398050.98800004,5514.2504333336365,0.95995997736883076,810397979.86873817,1.2679092958545164,0.011757478812603139,0.0076549706465467438,810397908.0,323.067810059,0.253979057074,14.544057467603139,123.664417676423,16542.751300000909,699.01611328125,810397907.995,810398050.995,0.010737152351417478,3.3747704159968917e-14,0.010632008563723261,0.0,0.011886196156201123,300.75035045990245,163.82380660179086,2.6118931494603036e-16,2.6542160536140894e-14,144.0,323.06817627,0.253648877144,15.1343,0.0105222,0.00137456
6443492194863022482,15847.861637172367,3267.8461748237319,11274.0,3.1648506969906706e-16,140.23852798634812,13256.0,14.712831638655473,1.4033677920849768,14.702315305304829,141.60346412655076,153.89474487304688,2.9170313610069454e-14,2.890937651695052e-16,0.0085905258013099228,1.5363352898012965,810652157.98599994,3145.4053734589356,0.83669619331278933,810652105.7688061,1.5412793558347844,0.011716316044552144,0.0086590379126629813,810652045.99600005,323.067871094,0.254092037678,14.462107898792269,89.704417487705456,9436.2161203768064,434.31094360351562,810652045.995,810652157.995,0.011998746448577791,3.63935198364668e-14,0.011867593341371219,0.0,0.011844128782861674,248.48548740734603,176.6675720216835,3.1750354730196558e-16,2.8889136765187708e-14,105.05,323.068206787,0.253778934479,14.9784,0.0119634,0.00143242
