,objid,flat_counts,mcat_bg,bg_counts,flux_bgsub_err,cps_mcatbgsub,counts,mag_mcatbgsub,cps_err,mag_bgsub,cps_bgsub,detys,flux_bgsub,flux_err,mag_err_1,cps_bgsub_err,t1_data,bg,responses,t_mean,cps_mcatbgsub_err,mag_bgsub_err_1,mag_err_2,t0_data,racent,deccent,mag,exptime,bg_flat_counts,detxs,t0,t1,mag_mcatbgsub_err_2,flux,mag_mcatbgsub_err_1,flags,mag_bgsub_err_2,detrad,cps,flux_mcatbgsub_err,flux_mcatbgsub,mcat_expt,ra,dec,aper4,aper4_err,mcat_bg.1,aper7,aper7_err,legs
11,6443421829409277028,2261.0045389,21.4640777008,1614.0,4.97748603474e-16,16.6770132563,2058.0,15.7647043151,0.354087077962,15.7632805863,16.6988962122,195.791152954,2.33784546971e-14,4.95721909147e-16,0.0225967723433,0.355534716767,809604723.99,18.5254360881,0.911803564993,809604656.624,0.35576381062,0.0228736675165,0.0230770793737,809604587.76,323.067932129,0.254103988409,15.7543480125,134.289061643,1504.12007398,178.737518311,809604586.995,809604723.995,0.0234121790036,2.3571587408e-14,0.0229179705767,32.0,0.0233659464717,301.095232468,16.8368481486,4.98069334868e-16,2.33478185588e-14,138.0,323.067932129,0.254114001989,15.747,0.0200986,0.000169992,15.6388,0.0188342,2
12,3364859624006099052,25924.3208848,244.092839096,15211.0,1.35386824762e-16,15.3770691251,22467.0,15.8528160833,0.0964113989985,15.8491850786,15.4285804195,591.301330566,2.16000125873e-14,1.34975958598e-16,0.00672241699787,0.0967048748301,900796184.955,158.067226737,0.867798671365,900795380.517,0.096864220818,0.00678405252209,0.00676429879492,900794490.145,323.068572998,0.254133760929,15.8425448024,1670.03398611,12833.8187367,531.117980957,900794489.995,900796184.995,0.00686097148465,2.17325213382e-14,0.00681788782545,8.0,0.00682670827856,231.922668161,15.5232295273,1.35609909145e-16,2.15278967751e-14,1693.05,323.068572998,0.254133343697,15.7482,0.00699525,0.000155449,15.6837,0.00675234,-999
13,6442999603656655253,1759.46092667,19.5226060703,958.0,4.42159145649e-16,13.0686180039,1345.0,16.0294258407,0.315054454109,16.0226624143,13.1502810361,603.051025391,1.84103934505e-14,4.41076235752e-16,0.0255804611637,0.315827961178,841490268.95,8.65009920568,0.766063287365,841490200.245,0.316797521044,0.0257677278232,0.0261977211707,841490130.055,323.068206787,0.254187345505,16.017311407,133.138662411,702.320193452,602.171142578,841490129.995,841490268.995,0.0266436837724,1.8501352295e-14,0.0260054846903,40.0,0.0263941695633,286.536018335,13.2152516393,4.43516529462e-16,1.82960652055e-14,137.05,323.068206787,0.254170954227,15.7147,0.0225041,0.000155952,15.6621,0.0219042,3
14,6443069973474577569,2532.37492394,21.2349208904,1578.0,4.93862894629e-16,17.543433243,2152.0,15.7097135285,0.351566644812,15.7079744653,17.5715557141,548.118041992,2.46001779998e-14,4.92193302737e-16,0.0213638997606,0.35275921045,870121145.945,17.2095137037,0.850669612448,870121073.692,0.353037577267,0.0215808796491,0.0217927267175,870121001.145,323.068389893,0.254023075104,15.7005708338,143.138459175,1397.27750008,504.551696777,870120999.995,870121145.995,0.0220717894764,2.47684997724e-14,0.0216320201221,0.0,0.0220185510281,181.300887098,17.6917855517,4.94252608174e-16,2.45608065402e-14,144.0,323.068267822,0.253974497318,15.7634,0.0235593,0.00015778,15.6971,0.0227422,10
15,6443069973541684804,2117.65352005,18.1134867089,1475.0,5.1268880778e-16,16.6354713056,2174.0,15.7674122262,0.364618249508,15.7676051057,16.6325163,567.31036377,2.32855228199e-14,5.10465549312e-16,0.0233410449895,0.366206291271,870119737.78,18.4864339237,1.02734500639,870119673.252,0.366174322023,0.0236458220012,0.0238538732821,870119610.01,323.068267822,0.253907412291,15.7580853651,126.208629426,1500.95340421,286.100341797,870119609.995,870119745.995,0.0241658064829,2.34905880965e-14,0.0236396255519,0.0,0.024172281898,202.400321056,16.7789914975,5.12644050832e-16,2.32896598279e-14,137.0,323.068359375,0.253929436207,15.7344,0.0229441,0.000152641,15.6551,0.0219602,2
16,6443069976125376765,1972.56996321,17.5658479927,1447.0,5.15120038893e-16,16.1228815738,2034.0,15.80139334,0.366278305168,15.801617664,16.1195507683,581.001831055,2.25673710757e-14,5.12789627235e-16,0.0241748710762,0.367942884924,870273359.69,17.9697297938,1.03224415183,870273298.636,0.367905555104,0.024504267452,0.0247254277239,870273237.015,323.068481445,0.254124134779,15.7916814904,121.256495389,1459.00108253,308.394470215,870273236.995,870273367.995,0.0250622938806,2.27748455011e-14,0.0244968040805,0.0,0.0250701058719,202.862603583,16.2677467865,5.15067777146e-16,2.25720342034e-14,128.0,323.068572998,0.254163950682,15.7338,0.0240091,0.000154071,15.6644,0.0231485,1
17,6443069980957215930,2445.39863395,18.9820046776,1252.0,5.20391011838e-16,18.1961369694,1795.0,15.6700520068,0.370841779327,15.6666804965,18.2527288133,382.490386963,2.55538203387e-14,5.19178491058e-16,0.0217367635757,0.371707865598,870463862.915,11.43560121,0.734842603107,870463794.349,0.372278296193,0.0218883610142,0.0221808458803,870463728.09,323.06842041,0.254021286964,15.661591278,133.347898697,928.481103285,606.690246582,870463726.995,870463862.995,0.0224436683047,2.56738810359e-14,0.0219891072022,8.0,0.0223387235844,207.430577738,18.3384864542,5.2118961467e-16,2.54745917572e-14,137.0,323.068389893,0.253998786211,15.7371,0.0228437,0.000151396,15.6691,0.0220233,8
18,6443069981930294562,2549.92384359,21.2485427874,1848.0,5.02974006833e-16,17.9124958904,2582.0,15.6871097406,0.357706343721,15.6875617511,17.905040164,470.246307373,2.50670562296e-14,5.00788881209e-16,0.0212909755601,0.359267147738,873913391.905,22.3010544775,1.01316513198,873913319.191,0.359193637143,0.0215697658882,0.0217168506932,873913245.03,323.068634033,0.254098832607,15.6780243821,141.168227826,1810.67066659,198.000915527,873913243.995,873913391.995,0.0219931817061,2.52882212661e-14,0.02155650833,0.0,0.0220069820158,213.864849443,18.0630151901,5.02871092001e-16,2.50774942466e-14,141.05,323.068695068,0.254000425339,15.7394,0.0225822,0.000160085,15.6756,0.0218194,10
19,6443069982131619190,2100.02119436,16.2213862606,1074.0,5.57128904418e-16,18.0526464991,1589.0,15.6786478049,0.397005682697,15.6754078425,18.1065981442,452.735839844,2.53492374019e-14,5.55807955776e-16,0.0234377810223,0.397949217441,873912688.98,9.99379919887,0.757345525102,873912631.378,0.398536046797,0.0236040082517,0.0239549161806,873912572.0,323.068634033,0.254166334867,15.6702285946,115.429048489,811.418091258,596.799560547,873912570.995,873912688.995,0.0242375965457,2.54704488219e-14,0.0237083188018,8.0,0.0241285871486,203.742817875,18.19317773,5.57950465516e-16,2.52737050988e-14,119.0,323.068634033,0.254156589508,15.7268,0.0234269,0.000149462,15.6698,0.0227162,6
20,6443069983876449982,1573.45581737,14.5651764496,981.0,5.72037437327e-16,16.0032410708,1416.0,15.8094801314,0.407211068331,15.8068176532,16.0425329045,317.90222168,2.24595460663e-14,5.70095495664e-16,0.0270320767173,0.40859816952,873982926.61,10.7377222756,0.900845230209,873982877.072,0.409091463827,0.0273070596823,0.0277223289351,873982828.015,323.068572998,0.254058808088,15.7993828745,97.4109328246,871.818808841,277.269012451,873982827.995,873982934.995,0.0281156275263,2.26138697213e-14,0.027405900738,0.0,0.028011610265,147.658188089,16.1527640866,5.72728049357e-16,2.24045374991e-14,108.0,323.06854248,0.254141390324,15.7914,0.0263552,0.000159025,15.6822,0.0247055,2
21,6443069983910003804,1688.88239689,15.5098900639,1091.0,5.50285750447e-16,15.9493969441,1544.0,15.8131393331,0.391697989116,15.8107196213,15.9849819971,265.101348877,2.23789747959e-14,5.48377184763e-16,0.0261031860463,0.39306125032,873983078.965,11.7763915801,0.914808333708,873983024.216,0.39349246235,0.0263746551913,0.0267462490388,873982972.08,323.068695068,0.254158824682,15.8031223837,104.917603637,956.150607758,330.611450195,873982971.995,873983078.995,0.0271224975068,2.25361166638e-14,0.0264614375868,0.0,0.0270313321957,151.698440726,16.0972261884,5.5088944729e-16,2.23291557217e-14,108.0,323.068664551,0.254244118929,15.8039,0.0254135,0.000157224,15.711,0.0241216,3
22,6443069984379767084,2299.91203788,17.6470352889,1413.0,5.24874745635e-16,17.7784734166,2150.0,15.6952638333,0.37358033676,15.6946743642,17.7881283457,458.369873047,2.49033796839e-14,5.23012471464e-16,0.022406789895,0.374910532597,873989757.935,16.4076090356,0.935974898853,873989693.745,0.37501082355,0.0226456455736,0.022878969828,873989627.995,323.068664551,0.254184275866,15.6869009439,128.372383225,1332.16913216,472.618255615,873989626.995,873989757.995,0.0231470064423,2.50823173345e-14,0.0226638145634,0.0,0.0231280547635,93.1689493775,17.9159409532,5.25015152971e-16,2.48898627832e-14,128.0,323.068695068,0.254157155752,15.769,0.0234857,0.000146204,15.6937,0.0224696,7
23,6443140339333074323,4468.90734072,41.546401616,3009.0,3.45370502006e-16,16.2735544618,4287.0,15.7912939458,0.245718676564,15.7898166736,16.2957116228,432.414001465,2.28139962719e-14,3.4400614719e-16,0.0161211281351,0.246693215719,900422181.64,35.5183547449,0.960634183208,900422043.596,0.246858229105,0.0163132861141,0.0163641087155,900421906.01,323.068511963,0.254147261381,15.7811528936,272.05863043,2883.8117555,451.660552979,900421905.995,900422189.995,0.0165960405608,2.29967719352e-14,0.0163461759978,0.0,0.0165621385182,60.9875415557,16.426265668,3.45601520748e-16,2.27829762465e-14,285.0,323.068572998,0.254110962152,15.7287,0.0140927,0.000162416,15.6468,0.0134666,1
24,6443140339366628181,4980.14652061,42.6824582906,3601.0,3.41985877823e-16,17.0143026084,5171.0,15.7429646183,0.243181910038,15.743451791,17.0066699578,442.885742188,2.3809337941e-14,3.40454674053e-16,0.0152772165197,0.244275627016,900422518.975,44.8974146557,1.03907220712,900422374.503,0.244221784752,0.0154840541656,0.0154952513147,900422225.12,323.068511963,0.25404381752,15.7336191865,290.19491283,3645.31783933,372.214447021,900422224.995,900422518.995,0.0156974924892,2.40259385006e-14,0.0154737700428,0.0,0.015708076248,51.1001353941,17.1613846433,3.41910498652e-16,2.38200236518e-14,295.0,323.06854248,0.254046797752,15.7665,0.0157557,0.000156429,15.6965,0.0151495,2
25,6443140340943685301,1621.88139912,14.1731167475,1083.0,5.74187560999e-16,16.3082717936,1559.0,15.788980148,0.408517098065,15.7880963722,16.3215519284,536.245483398,2.28501726997e-14,5.71923937291e-16,0.0266304071139,0.410133972142,900859784.765,12.8639294247,0.961840665845,900859735.88,0.410298167362,0.0269456299713,0.0273000436595,900859685.035,323.068481445,0.254172056913,15.7794505382,98.5823821633,1044.45014875,452.706207275,900859684.995,900859792.995,0.0276654215258,2.30328574837e-14,0.0269779652568,0.0,0.0276314182477,146.084824783,16.4520410598,5.74417434307e-16,2.2831580511e-14,109.0,323.06854248,0.254142433405,15.7212,0.0256604,0.000152906,15.6604,0.0248358,2
26,6443140341480557735,2111.79366876,17.9669402621,1222.0,5.06280529549e-16,16.4323424687,1606.0,15.7807513062,0.360648790344,15.7774001625,16.4831395313,402.615112305,2.30763953438e-14,5.04908306482e-16,0.0233730603357,0.361628949678,900866793.935,11.4943239847,0.762485327264,900866730.318,0.362179723835,0.0235627782801,0.0238873119726,900866658.995,323.068572998,0.254176020622,15.771474446,127.42107417,933.248931897,599.877868652,900866657.995,900866793.995,0.0241980064739,2.32026857058e-14,0.0236704376289,8.0,0.0240855058077,199.894975398,16.5733469327,5.07051613368e-16,2.30052794562e-14,132.05,323.06854248,0.254158198833,15.8248,0.0271513,0.000149965,15.7532,0.0261424,8
