ix,skypos,band,theCount
2188,5.02256627121_87.2583590708,FUV,21130
2198,140.402777091_68.4599410281,FUV,8249
2208,62.624040005_57.8616004027,FUV,10050
2218,5.40683306716_82.7898669895,FUV,7453
2228,304.104400341_85.5830164481,FUV,17389
2238,113.488129114_67.0893255975,FUV,128232
2248,244.464781164_82.239020696,FUV,8170
2258,226.107431391_55.9318123159,FUV,115687
2270,144.532650049_56.2481395307,FUV,122218
2268,147.892085972_70.6762450612,FUV,8099
2356,92.544947576_84.3834521329,FUV,15308
2280,238.579132455_85.3849459628,FUV,7865
2261,102.80746141_60.3592663977,FUV,114182
2366,196.585489491_82.0745209133,FUV,8281
2278,287.149969425_83.5675803193,FUV,16881
2376,89.1838446344_56.5553559066,FUV,8608
2271,223.890972451_59.7025584881,FUV,84599
2290,307.763259371_76.7147296718,FUV,70678
2281,97.2749743307_88.2058754888,FUV,10263
2300,205.017988588_60.287679853,FUV,8255
2386,164.511117877_58.1712494648,FUV,127866
2288,307.763259371_76.7147296718,FUV,110013
2310,39.9208682679_77.7196754181,FUV,8230
2298,136.052704558_67.8976031559,FUV,8186
2396,164.511117877_58.1712494648,FUV,125771
2406,183.06584662_82.7175072809,FUV,9081
2320,306.601874977_72.7617629027,FUV,10441
2291,307.763259371_76.7147296718,FUV,124513
2416,137.165804662_85.4097826797,FUV,20601
2308,112.417141573_85.6057059935,FUV,126621
2301,57.9497172536_87.8695626587,FUV,19755
2330,223.850243427_62.4063875356,FUV,7606
2318,89.2920810158_78.6533516578,FUV,8188
2426,96.1459270864_83.0627065152,FUV,8342
2311,39.9208682679_77.7196754181,FUV,8343
2321,222.006624176_62.159382398,FUV,7539
2340,79.937690328_56.6245346478,FUV,8639
2328,54.9617918735_62.3812858873,FUV,8486
2331,195.843642773_59.3153644633,FUV,8022
2350,35.5476246553_78.5023193668,FUV,8071
2338,235.489444909_65.7642585081,FUV,10217
2360,160.612643521_71.2084067085,FUV,8368
2341,79.937690328_56.6245346478,FUV,7999
2370,57.7422646271_86.4423081004,FUV,7780
2348,311.9789787_64.9705550483,FUV,9631
2351,35.5476246553_78.5023193668,FUV,7916
2358,227.629194275_84.1215490767,FUV,8861
2436,275.836097187_64.7622441372,FUV,111950
2361,281.789789322_87.7027854054,FUV,10054
2371,57.7422646271_86.4423081004,FUV,7944
2368,48.754045106_76.2733499152,FUV,8079
2446,165.090172935_74.3382574368,FUV,18453
2456,222.664884088_73.2163918887,FUV,7889
2380,164.511117877_58.1712494648,FUV,126356
2378,270.062068787_78.6868474013,FUV,8099
2466,67.5474022449_55.262689438,FUV,8174
2381,164.511117877_58.1712494648,FUV,124917
2476,292.539811692_84.6386995161,FUV,14084
2390,164.511117877_58.1712494648,FUV,126558
2388,164.511117877_58.1712494648,FUV,127347
2486,337.999131853_74.0891361237,FUV,7848
2496,104.434866607_74.9683936972,FUV,8549
2391,164.511117877_58.1712494648,FUV,126464
2398,164.511117877_58.1712494648,FUV,127323
2400,164.511117877_58.1712494648,FUV,118418
2408,76.3056592717_64.1226360028,FUV,10116
2410,287.497528114_75.0896123082,FUV,17378
2506,89.0625731769_69.6361251871,FUV,40783
2516,218.55389831_87.1885620919,FUV,7877
