flat_counts,mcat_bg,bg_counts,flux_bgsub_err,cps_mcatbgsub,counts,mag_mcatbgsub,cps_err,mag_bgsub,cps_bgsub,detys,flux_bgsub,flux_err,mag_err_1,cps_bgsub_err,t1_data,bg,responses,t_mean,cps_mcatbgsub_err,mag_bgsub_err_1,mag_err_2,t0_data,racent,deccent,mag,exptime,bg_flat_counts,detxs,t0,t1,mag_mcatbgsub_err_2,flux,mag_mcatbgsub_err_1,flags,mag_bgsub_err_2,detrad,cps,flux_mcatbgsub_err,flux_mcatbgsub
27.8547773582,1.1585895984,1.0,8.44272733559e-16,3.00600513856,11.0,17.6250257034,0.594278907462,17.6116825668,3.04317532068,51.1212654114,4.26044544896e-15,8.31990470446e-16,0.188387595038,0.603051952542,741010225.085,0.828482990024,0.395451540806,741010221.788,0.606512192802,0.196291904843,0.228082933399,741010216.69,244.273215596,55.2690107367,17.5788995949,8.88095213722,0.450040142729,394.024627686,741010215.995,741010225.995,0.244675602888,4.39104813301e-15,0.199550551716,0.0,0.2397879731,348.929902018,3.13646295215,8.49117069923e-16,4.20840719398e-15
19.0696053115,1.15874519171,0.0,6.88305180949e-16,2.01650170152,8.0,18.058503518,0.491646557821,17.9904403623,2.14695951511,52.6581268311,3.00574332116e-15,6.88305180949e-16,0.223876756433,0.491646557821,741010234.915,0.0,0.425520380714,741010230.368,0.506363491473,0.223876756433,0.282359351241,741010226.135,244.272583767,55.2686565137,17.9904403623,8.88214480865,0.0,393.753540039,741010225.995,741010235.995,0.313954741063,3.00574332116e-15,0.243238630516,0.0,0.282359351241,347.398035571,2.14695951511,7.08908888062e-16,2.82310238213e-15
20.8575611111,1.15865169618,2.0,7.45429648735e-16,2.21798894423,10.0,17.9551015574,0.514219990839,17.9743647246,2.17898434556,55.1472358704,3.05057808379e-15,7.19907987174e-16,0.214975187108,0.532449749097,741010245.58,1.50506823626,0.480804704737,741010241.672,0.528309598487,0.237362356446,0.268319229497,741010236.71,244.271167593,55.2681197817,17.8930482034,8.88142813613,0.817567930806,394.024841309,741010235.995,741010245.995,0.295387704118,3.28782546095e-15,0.231970923531,0.0,0.304208124402,344.904525121,2.34844675782,7.39633437882e-16,3.10518452193e-15
16.1675990692,1.15868169847,0.0,6.33806588587e-16,1.68987785608,8.0,18.2503617123,0.452718991848,18.169621302,1.82033566967,56.9375762939,2.54846993754e-15,6.33806588587e-16,0.241146000935,0.452718991848,741010255.82,0.0,0.499512420946,741010250.349,0.468660792162,0.241146000935,0.310467727308,741010246.845,244.271180824,55.2680531942,18.169621302,8.88165811314,0.0,394.747772217,741010245.995,741010255.995,0.352656127614,2.54846993754e-15,0.265761284916,0.0,0.310467727308,343.102626711,1.82033566967,6.56125109027e-16,2.36582899852e-15
24.3680927693,1.15860145977,1.0,7.91496999908e-16,2.61337448282,12.0,17.7769958842,0.555836156867,17.762274663,2.64904987352,57.2833213806,3.70866982293e-15,7.78170619613e-16,0.200281852509,0.565354999934,741010265.845,0.84176677887,0.494800164607,741010260.705,0.56889656622,0.210026107596,0.245777530692,741010257.04,244.272130908,55.2681371676,17.7241060908,8.88104305836,0.457256028028,396.816802979,741010255.995,741010265.995,0.26654805603,3.84136521497e-15,0.213838803735,0.0,0.260640028895,342.731461274,2.74383229641,7.96455192708e-16,3.65872427595e-15
28.5109554485,1.15849889378,0.0,8.41798977042e-16,3.08014249952,14.0,17.5985729772,0.601284983601,17.5535343907,3.2106003131,57.2246322632,4.49484043834e-15,8.41798977042e-16,0.186383950283,0.601284983601,741010275.965,0.0,0.492592445742,741010271.709,0.613379492477,0.186383950283,0.225149194981,741010266.565,244.272368897,55.2682523676,17.5535343907,8.88025685791,0.0,398.454315186,741010265.995,741010275.995,0.241108455645,4.49484043834e-15,0.197174700266,0.0,0.225149194981,342.778852715,3.2106003131,8.58731289468e-16,4.31219949932e-15
16.6091786873,1.1587249576,0.0,6.42379759979e-16,1.73952619152,8.0,18.2189225696,0.4588426857,18.1404052705,1.86998400511,56.5079040527,2.61797760715e-15,6.42379759979e-16,0.238248195283,0.4588426857,741010284.31,0.0,0.487329443525,741010280.092,0.474578248955,0.238248195283,0.305668458154,741010276.935,244.272151034,55.2680336643,18.1404052705,8.88198970788,0.0,399.688659668,741010275.995,741010285.995,0.345895797923,2.61797760715e-15,0.261917826881,0.0,0.305668458154,343.492237046,1.86998400511,6.64409548537e-16,2.43533666813e-15
17.0471327948,1.15889450546,1.0,6.65883697916e-16,1.78855350441,7.0,18.1887451586,0.464784743555,18.1648219361,1.82840005446,53.9923095703,2.55976007625e-15,6.50698640977e-16,0.235478904431,0.475631212797,741010295.99,0.804926071931,0.411214170101,741010291.014,0.48032344638,0.251042857267,0.301113648718,741010286.29,244.272392585,55.2684424305,18.1123061597,8.88328934536,0.43724379216,400.539550781,741010285.995,741010295.995,0.33954453313,2.6866158452e-15,0.258272516605,0.0,0.327119084892,346.008111107,1.919011318,6.72452824931e-16,2.50397490617e-15
11.38805647,1.15863843935,0.0,5.31955133958e-16,1.15178943252,5.0,18.6665672759,0.379967952827,18.5500705625,1.28224724611,51.6236686707,1.79514614455e-15,5.31955133958e-16,0.281788685214,0.379967952827,741010305.735,0.0,0.442120833808,741010300.942,0.39882909387,0.281788685214,0.381576960733,741010296.835,244.273030106,55.2688936516,18.5500705625,8.88132651839,0.0,400.377868652,741010295.995,741010305.995,0.461502472019,1.79514614455e-15,0.322829697179,0.0,0.381576960733,348.376536258,1.28224724611,5.58360731417e-16,1.61250520553e-15
13.2187169062,1.15894404414,0.0,5.72967929782e-16,1.35752162316,6.0,18.4881331102,0.409262806987,18.3885076763,1.48797943675,50.6129188538,2.08317121145e-15,5.72967929782e-16,0.263814641363,0.409262806987,741010313.505,0.0,0.4550772272,741010309.483,0.42682686507,0.263814641363,0.349223888772,741010307.785,244.272997027,55.2685912469,18.3885076763,8.88366907483,0.0,399.428344727,741010305.995,741010315.995,0.409848720184,2.08317121145e-15,0.296832303274,0.0,0.349223888772,349.387548807,1.48797943675,5.97557611098e-16,1.90053027242e-15
