objid,t0,t1,t_raw,t_eff,ra,dec,racent,deccent,aper4,aper4_err,mag_bgsub_cheese,mag_bgsub,mag,distance,response,skybg,bg,bg_cheese,bg_eff_area
6384919052903515448,840787263.995,840787378.995,112.0,111.72572895859875,19.8703,-71.7848,19.871237596621427,-71.784864917785711,21.4138,0.419843,21.321098638550417,21.347175350765074,21.051745006120264,244.3417037719816,0.9799597734190838,0.000284248,3.4075235384484706,3.1426507452177694,0.00174707109058782
6384919052934972708,844425808.995,844425904.995,96.0,92.021987565809837,19.871,-71.7847,19.871466309519999,-71.785051940019997,-80.1829,-99.0,22.880264930886067,23.014324254433554,22.007240645407727,236.19597945127867,1.0235436108457736,0.00029601,2.9537825858326974,2.6997892512851847,0.00174707109058782
6384919052903515471,840787263.995,840787378.995,112.0,111.72572895859875,19.8582,-71.7846,19.85818866638261,-71.784413626728266,19.8739,0.178569,19.858851406951089,19.866611587675898,19.783121149407524,245.98131341247645,1.0019757901678459,0.000285255,3.4058543260886478,3.1002151375494509,0.00174707109058782
6384919052937069911,844425808.995,844425904.995,96.0,92.041730041713805,19.8587,-71.7846,19.858075403808702,-71.784692671678243,20.4747,0.256293,20.493610687611127,20.50906829032623,20.358047919725738,239.0203695347553,1.0312451464179806,0.000297017,2.8988302803690336,2.6203012504954595,0.00174707109058782
6384919052937069905,844425808.995,844425904.995,96.0,92.021548152031457,19.9058,-71.7787,19.906900568954544,-71.778504597218173,21.4948,0.466618,21.436329458750361,21.478861447060858,21.121865668592601,229.91891466974695,0.99630211616331366,0.000293308,3.0948348704314403,2.7772421871690072,0.0017149611740315518
6384919052903515507,840787263.995,840787378.995,112.0,111.73055803640135,19.9054,-71.7788,19.907355130900005,-71.778747726585721,21.4383,0.417568,21.395656423591234,21.457772684565015,21.110136198524629,237.16554740434577,1.0336475268539362,0.000281228,3.7140245801785321,3.1345607140811742,0.0017149186629426014
6384919052903515561,840787263.995,840787378.995,112.0,110.74475630172653,19.9398,-71.7682,19.941786291899998,-71.768509797076916,21.3665,0.396335,21.469723361840241,21.474193265541206,21.166790028607455,228.55112677771075,1.0198432575450225,0.00027789,3.1445625666755714,3.1049243598053469,0.0017366793702974512
6384919052937069977,844425808.995,844425904.995,96.0,92.016900614880882,19.9418,-71.768,19.940915672185714,-71.768229531778573,21.1868,0.365447,21.102186903372861,21.107022146656767,20.875600056226158,221.38937189871584,1.0116204694362898,0.000290712,2.6597784281379706,2.6098071842332566,0.0017362016466147855
6384919052903515346,840787263.995,840787378.995,112.0,110.75926994332629,19.7351,-71.8052,19.735530019510168,-71.805472567224555,18.7801,0.106019,18.781445787278884,18.791545118063176,18.744404983722681,270.92525718452845,0.99477864280446915,0.000309308,5.0453427089496268,3.9827869094009811,0.0016764735922112414
6384919052937069755,844425808.995,844425904.995,96.0,92.022239789986699,19.7352,-71.8051,19.735633668903091,-71.804916027990728,18.772,0.111687,18.764943051322589,18.77665674113765,18.728511949092351,263.93723354340943,0.96995846804202657,0.000319322,4.3422981302745365,3.3034684557187242,0.0016767285615787077
6384919052901418280,840787263.995,840787378.995,112.0,110.7350606877024,19.9506,-71.7867,19.949634055075002,-71.786609406699995,-80.1829,-99.0,24.025416942164867,24.598731507214495,22.40562220196372,235.97453909199547,0.98187664786395379,0.00027842,3.5336469130530648,3.1576727399352742,0.001698768801082826
6384919052934972721,844425808.995,844425904.995,96.0,92.016900614880882,19.9613,-71.7837,19.962244997999999,-71.783648145114299,-80.1829,-99.0,22.145372115220713,22.182138679981858,21.605670340685528,226.21179753516637,0.99011892167359083,0.000289705,2.9137094437008084,2.7704527491143502,0.0017028666631332739
6384919052903515440,840787263.995,840787378.995,112.0,110.7350606877024,19.9626,-71.7838,19.962601013136364,-71.783651274818183,21.8471,0.56785,21.672278189296787,21.721397272295125,21.312184903400333,233.01654761382613,0.98702116970438813,0.000277254,3.5023587940413559,3.14826931609627,0.0017070353392094485
6384919052902472525,840787263.995,840787378.995,112.0,110.75913925958744,19.9664,-71.8396,19.966657639766417,-71.839784024868734,18.6452,0.101598,18.646663306814133,18.653375932786002,18.619220609806309,259.11764454318961,0.9853671565510097,0.000281493,4.1267888422086845,3.3259584534110895,0.0017372504497339158
6384919052936026634,844425808.995,844425904.995,96.0,91.997617306975016,19.9667,-71.8396,19.966847865274996,-71.839554902676795,18.6519,0.103253,18.643189531535064,18.648818653248544,18.614439646352398,252.27624686269067,1.0087472618177429,0.000293732,3.4650704558228389,2.9051945886902431,0.001737271095723562
6384919052937069574,844425808.995,844425904.995,96.0,91.997824407874049,20.0141,-71.8355,20.013670045895243,-71.835198396557132,20.3686,0.240262,20.585700489774673,20.62060249600486,20.388371217293393,244.56912865225453,0.96825932520737568,0.00029103,4.1783687973661303,3.6060187397797021,0.00174707109058782
6384919052903515183,840787263.995,840787378.995,112.0,110.7348763306951,20.0126,-71.8355,20.013829346284851,-71.835511906721209,20.3062,0.230207,20.297442956172375,20.324125404311225,20.159661896195921,252.08534898540017,1.0240648074379042,0.000278579,4.5319730776046905,3.8425544148383559,0.00174707109058782
6384919052903515255,840787263.995,840787378.995,112.0,110.75952956387563,19.9788,-71.821,19.979064813343292,-71.821052308634322,18.6693,0.100154,18.688135132238333,18.690200880896935,18.65469525687573,248.64719661054886,1.0402051074409522,0.000279268,4.1494836371305039,3.9117628690540167,0.00174707109058782
6384919052937069657,844425808.995,844425904.995,96.0,93.005280088165847,19.9785,-71.821,19.979252906939585,-71.820788138164588,18.7858,0.111122,18.797142656808482,18.799223933699277,18.759780221766487,241.60607446505779,0.97747871371877049,0.00028997,3.5073904452358327,3.3254874310444462,0.00174707109058782
6384919052903515308,840787263.995,840787378.995,112.0,110.75952956387563,19.899,-71.8115,19.899415312272414,-71.811781608782752,20.4285,0.238386,20.446470008702008,20.449178940054281,20.304220207452815,253.10208176947378,1.0281813585987007,0.000283241,3.5281240797700923,3.4664184051162765,0.0017151514226330376
