objid,t0,t1,t_raw,t_eff,ra,dec,racent,deccent,aper4,aper4_err,mag_bgsub_cheese,mag_bgsub,mag,distance,response,skybg,bg,bg_cheese,bg_eff_area,bg_sigmaclip,mag_bgsub_sigmaclip
6387804217583601088,886200268.995,886200345.995,51.1,45.049999999999997,269.516,88.9539,269.51689142856304,88.953784933144249,20.2775,0.216202,20.260001037118968,20.319539355820822,20.145580078296668,35.392053043872686,0.8254626214816726,0.00124931,6.2785393539427181,4.241903538932748,0.00174707109058782,3.2941176470588189,20.233369091056165
6387804217617156350,1000659272.995,1000659524.995,87.25,94.299999999999997,269.523,88.9535,269.52308836575526,88.953227985219499,20.1252,0.145547,20.481112765690934,20.508885703938802,20.284967111681258,260.55102455125888,0.94803118057182678,0.00139957,14.550447907993126,12.904480059229639,0.00174707109058782,7.0588235294117556,20.38785068439644
6387804217583600470,886200268.995,886200345.995,51.1,46.049999999999997,270.186,88.7505,270.18632816695083,88.750444688817538,19.8176,0.161699,19.844636036235798,19.874622673253153,19.746601320231036,129.03596104738298,0.87871107654570291,0.0012366,6.9629694089794301,5.4048700875983462,0.00174707109058782,3.697478991596634,19.812700127792301
6387804217617155781,1000659272.995,1000659524.995,87.25,92.299999999999997,270.171,88.7502,270.17095010169635,88.750063360483537,19.6136,0.115037,19.662858736876945,19.68267539427449,19.571082007858617,217.22091059034216,0.90876378074667841,0.0013947,14.406401114988542,11.955041742438114,0.00174707109058782,6.0504201680672187,19.616560376964138
6387804217583600702,886200268.995,886200345.995,51.1,38.049999999999997,269.717,88.8203,269.70505994901953,88.820264351672662,21.7415,0.480399,21.731962441166694,21.978049494897419,21.259581511893238,91.748311422808129,0.85708387096814287,0.00125631,6.2145079609682119,4.5293293605284068,0.00174707109058782,1.9495798319327702,21.438401712709457
6387804217617156188,1000659272.995,1000659524.995,87.25,88.299999999999997,269.474,88.8856,269.46383832667988,88.885484245589808,22.3802,0.696742,22.663152643618655,22.950857681789728,21.615756103690881,243.46887090756397,0.93215929321282953,0.00139915,15.186354167397948,13.282421113098488,0.00174707109058782,4.3025210084033549,21.858678814025694
6387804217583600987,886200268.995,886200345.995,51.1,43.049999999999997,269.684,88.9149,269.68110495745913,88.915098116468528,21.0458,0.311352,21.039849349044975,21.156344456203186,20.821524988624631,43.529200148270668,0.82791845942957487,0.00125016,5.7703897503613195,3.9610252541913096,0.00174707109058782,1.4117647058823513,20.894406652271563
6387804217617156259,1000659272.995,1000659524.995,87.25,85.299999999999997,269.689,88.9152,269.6844273364045,88.914936582093077,21.2342,0.288353,21.271349805599282,21.338476003728854,20.882478603875619,247.4958769990142,0.93314929851180617,0.00139681,13.969580876499013,12.262631009454555,0.00174707109058782,4.7058823529411704,21.015767147697257
6387804180036192004,1000659047.995,1000659221.995,110.1,68.049999999999997,311.256,88.6099,311.24799091968754,88.609985702410853,22.3701,0.58149,21.961292570927569,22.234611501582915,21.348297596076762,194.71226636094838,0.89803008094297787,0.00146824,11.805977799077461,9.1284200889506089,0.00174707109058782,4.3697478991596572,21.599447988194907
6387804180002637715,886200447.995,886200550.995,78.1,53.099999999999994,311.108,88.6155,311.1080780277353,88.615504203208559,22.5862,0.675694,22.167995594059366,22.605691221784429,21.516880697282353,178.32146302482431,0.84899026587390203,0.00115119,8.9506841250441376,6.3758936344355481,0.00174707109058782,3.5630252100840289,21.832190815369206
6387804217617155529,1000659272.995,1000659524.995,87.25,92.299999999999997,310.539,88.6264,310.54083089515603,88.626605127114786,21.5328,0.390728,21.42954914705134,21.663436928553431,21.106950112341657,343.53373238543412,0.80947971857033185,0.00139025,14.374680999696141,9.2137612549299401,0.00174707109058782,4.3025210084033549,21.245784380711207
6387804180036192047,1000659047.995,1000659221.995,110.1,78.049999999999997,310.531,88.6264,310.51701350444654,88.626355051846431,20.6413,0.176746,20.787149451087256,20.856896136480852,20.559879159303907,206.53249054489609,0.89714156554146507,0.00146209,12.00682474427113,9.474976244148051,0.00174707109058782,4.5042016806722636,20.662017412593237
6387804180002637641,886200447.995,886200550.995,78.1,64.099999999999994,310.533,88.6262,310.53159443302167,88.626399891344334,20.3512,0.177342,20.373791177111279,20.430576606648586,20.244324754538667,187.93977776553442,0.85330340001103422,0.00114886,8.685331802258748,6.1933402479637465,0.00174707109058782,3.7647058823529362,20.321167918500176
6387804217617155558,1000659272.995,1000659524.995,87.25,85.299999999999997,311.499,88.6267,311.489966734213,88.626638786734745,22.0035,0.70506,22.195605529708622,22.747561330308692,21.63879325778424,356.74391508307275,0.78921777488145506,0.0013983,12.986874341199316,8.1433415932969506,0.00174707109058782,4.7058823529411704,21.925179858791296
6387804217617156347,1000659272.995,1000659524.995,87.25,95.299999999999997,270.011,88.9524,270.02147712073258,88.952361518011031,21.9912,0.596089,22.713182940527687,22.954294574758297,21.701508263777207,255.42712231925486,0.9347607547648098,0.00139724,14.65262823358956,12.973888845795758,0.00174707109058782,4.3025210084033549,21.945164804722815
6387804217617156387,1000659272.995,1000659524.995,87.25,91.299999999999997,270.006,88.9703,269.99149240419405,88.970533265656982,22.3436,0.64836,23.213037618745503,23.626000736370347,21.847089170920924,261.63337182772324,0.94811850903300821,0.00140169,14.448324865843272,12.835954650898659,0.00174707109058782,5.1092436974789841,22.211201170832457
6387804180002637566,886200447.995,886200550.995,78.1,60.099999999999994,312.272,88.5743,312.27286690013136,88.574366933442832,22.074,0.470103,21.75388574750405,21.978660813775711,21.333499715426544,153.2626515940787,0.84485612471460159,0.00115755,8.4870533723259562,6.0817809782517251,0.00174707109058782,3.2268907563025166,21.536245759643833
6387804180002637614,886200447.995,886200550.995,78.1,61.100000000000001,312.65,88.6036,312.65520025837822,88.603540917434927,21.8429,0.41883,21.590367107840496,21.788322772131234,21.224675006067244,154.62542088123138,0.84564684788782385,0.00115946,8.621663636411208,6.0880043367862191,0.00174707109058782,2.5546218487394921,21.363459519746112
6387804180036191942,1000659047.995,1000659221.995,110.1,68.049999999999997,312.684,88.603,312.67731483675567,88.603006037572342,21.5634,0.322539,21.369372501710075,21.535587804885324,20.985586438883917,173.43069425165976,0.87987346554481849,0.00147756,11.745362061719682,8.7995382404907492,0.00174707109058782,4.0336134453781458,21.144917966363877
6387804180036191948,1000659047.995,1000659221.995,110.1,52.049999999999997,312.38,88.5991,312.36765530841546,88.599258521605321,23.1544,1.11319,22.829752584803437,24.077285404948967,21.597654635834537,177.50140628536749,0.85524346799176676,0.00147671,11.552782086955368,8.7280712381800321,0.00174707109058782,4.3025210084033549,22.039744275610865
6387804180002637606,886200447.995,886200550.995,78.1,71.099999999999994,312.198,88.6009,312.20440532189997,88.600907228523653,21.6673,0.369503,21.583040895321297,21.747747702551962,21.262835459256223,160.56515359906135,0.83652030004228073,0.00115734,8.6157948113409812,6.1090191737478046,0.00174707109058782,2.8907563025210044,21.402688115265992
6387804180036191953,1000659047.995,1000659221.995,110.1,66.049999999999997,312.236,88.6004,312.2349152988939,88.600205236334631,22.5241,0.677993,21.51378325985354,21.701727886343484,21.073373659102508,179.64581505403811,0.86945656341614852,0.00147586,11.624566237706052,8.8215973214519785,0.00174707109058782,3.9663865546218435,21.249729500037688
6387804180002637713,886200447.995,886200550.995,78.1,63.099999999999994,312.694,88.6234,312.69171788753511,88.62339759915767,21.8598,0.408218,21.674396660431604,21.884929804391518,21.296372096258938,159.03016732691202,0.82619982434960515,0.00115585,8.6126775790480501,6.051495756214055,0.00174707109058782,3.0924369747899116,21.473146751678989
6387804180002637728,886200447.995,886200550.995,78.1,67.099999999999994,312.202,88.6233,312.20141057270467,88.62352024651706,22.5775,0.732204,22.357494424136881,22.754991584242564,21.755659849096222,165.37955231388545,0.83720500106394269,0.00115395,8.6258292435030288,6.1008502099128235,0.00174707109058782,3.0252100840336094,22.012977037882209
6387804217617155582,1000659272.995,1000659524.995,87.25,82.299999999999997,311.764,88.6267,311.75630593515041,88.626718543681108,22.0389,0.875576,21.673227077150745,21.994769859915834,21.320141742814716,360.60114946231755,0.76632210755326624,0.00139999,12.154068765328523,7.2911073137381193,0.00174707109058782,3.2268907563025166,21.462480172170959
6387804217617155684,1000659272.995,1000659524.995,87.25,97.299999999999997,303.97,88.7295,303.96390789330212,88.729501021255828,18.7149,0.0768088,18.846839944321893,18.863333158584041,18.816107009529219,243.2886805894494,0.81843408645593507,0.00133663,13.265305497167571,8.6979651397501225,0.00174707109058782,11.361344537815112,18.856427249316273
6387804180036192394,1000659047.995,1000659221.995,110.1,78.049999999999997,303.957,88.7295,303.94480712688409,88.729244813558822,18.917,0.072178,19.136530052256941,19.14959606478828,19.081942403391835,308.29587351042738,0.91485385957129262,0.00150935,11.822313096102237,9.5960880982591235,0.00174707109058782,7.0588235294117556,19.121827747887224
6387804180002638125,886200447.995,886200550.995,78.1,72.099999999999994,303.966,88.7295,303.96733335609076,88.729517935785708,18.7783,0.0805612,18.844698111897053,18.855598438282065,18.814886518180511,295.37849396998877,0.85246497953057487,0.00119972,8.5086563119888758,6.2617086285080994,0.00174707109058782,10.218487394957968,18.863967066781203
